[2016-12-15 18:10:15] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:10:15] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:10:15] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:10:15] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:10:15] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:10:15] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:10:17] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:10:17] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:10:17] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:10:17] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:10:17] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:10:17] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:11:37] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:11:37] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:11:37] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:11:37] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:11:37] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:11:37] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:11:55] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:11:55] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:11:55] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:11:56] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:11:56] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:11:56] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:12:06] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:12:06] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:06] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:12:06] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:06] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:12:06] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:12:11] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:12:11] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:11] DEBUG [django.db.backends:90] (0.001) SELECT VERSION(); args=None
[2016-12-15 18:12:12] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:12] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 18:12:12] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:12:31] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:12:31] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:31] DEBUG [django.db.backends:90] (0.001) SELECT VERSION(); args=None
[2016-12-15 18:12:32] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:32] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:12:32] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:12:55] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:12:55] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:55] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:12:55] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:12:55] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:12:55] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:13:31] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:13:31] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:13:31] DEBUG [django.db.backends:90] (0.001) SELECT VERSION(); args=None
[2016-12-15 18:13:31] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:13:31] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 18:13:31] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 18:14:01] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 18:14:01] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 18:14:01] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 18:14:01] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
